Noah|5|8|596|534|2|172
Ali|5|2|557|613|2|183
Quon|11|10|429|912|3|67
Victor|2|12|348|889|1|270
Quynn|9|3|450|154|1|84
Tad|10|7|205|349|2|151
Medge|3|2|566|303|2|168
Myles|12|8|501|973|2|87
Zephania|9|7|930|736|2|13
Ulric|3|9|257|45|2|180
Cally|1|7|901|964|1|248
Roth|10|2|351|123|3|115
Bell|12|5|786|284|2|183
Sonia|2|8|769|168|2|154
Adrienne|4|5|645|796|1|127
Riley|5|3|390|136|2|273
Imani|1|2|849|577|3|270
Mason|1|11|927|493|2|193
Abigail|8|3|806|109|2|282
Abraham|7|3|362|344|3|214
Lillith|1|1|468|517|3|241
Kennan|11|10|755|136|2|237
Stephen|11|8|990|445|1|188
Joel|10|9|102|375|2|259
Alden|1|6|126|65|1|123
Willa|10|7|928|135|1|127
Jakeem|4|8|281|214|2|43
Dara|1|12|713|765|1|54
Venus|9|4|711|443|3|20
Caldwell|10|8|416|159|2|87
Allistair|3|10|50|21|1|264
Donna|9|3|728|356|3|3
Rhoda|11|4|928|989|2|7
Zephania|3|4|734|192|2|42
Ross|10|11|553|423|1|35
Steven|4|2|70|309|3|292
Burke|8|4|880|293|3|27
Suki|3|6|968|254|1|23
Cyrus|11|6|853|316|2|92
Rajah|8|7|557|822|1|50
Carla|3|11|399|362|1|270
Piper|9|7|122|113|2|90
Hu|1|1|600|917|1|46
Brooke|5|9|312|5|3|146
Emily|1|5|867|84|1|227
Dane|12|9|705|386|2|29
Amos|7|12|909|200|1|239
Jasper|5|2|299|648|1|2
Madaline|10|9|430|819|2|89
Scarlett|12|9|254|563|1|152
Ryder|2|6|575|769|2|253
Matthew|5|6|219|617|2|58
Perry|2|6|490|57|3|72
Mufutau|1|3|978|526|1|93
Quincy|11|11|172|984|1|130
Miriam|1|12|425|910|1|11
Shana|11|6|994|268|1|159
Peter|10|1|184|799|3|254
Demetria|12|2|344|241|2|177
Axel|3|4|85|442|1|222
Tatyana|1|12|144|33|1|138
Quinlan|9|2|390|701|2|248
Caryn|11|11|608|888|3|138
Gary|4|8|414|176|1|145
Len|9|4|853|391|3|138
Darryl|1|11|638|208|2|162
Hedda|6|12|624|16|1|253
Gillian|2|12|215|883|2|216
Fitzgerald|5|1|421|864|2|242
Rhoda|7|7|492|530|3|262
Nash|3|8|753|668|3|197
Wynter|7|9|12|318|2|240
Clarke|10|10|45|438|3|163
Hilda|4|3|59|837|1|53
Elvis|3|7|430|723|1|173
Jocelyn|2|11|398|109|1|43
Beverly|2|3|995|554|1|251
Ian|2|3|154|914|2|3
Chiquita|2|5|369|132|1|276
Francis|6|6|559|20|1|74
Eden|5|10|789|784|3|244
Constance|7|11|840|782|3|11
Jin|8|4|446|486|1|232
Claudia|10|6|40|227|1|230
Megan|4|12|299|914|3|85
Ulla|10|4|249|807|3|102
Kasimir|8|8|685|159|3|202
Arsenio|8|4|196|961|1|93
Cole|12|3|500|289|1|283
Yolanda|6|5|593|502|3|60
Rana|3|5|36|922|2|194
Rhea|12|5|919|557|1|277
Alisa|3|5|382|81|1|224
Stone|6|9|954|511|1|102
Karyn|3|9|313|404|1|29
Joshua|2|10|253|564|3|77
Edward|2|11|12|609|1|208
Hamish|4|11|667|778|2|232
Bruce|5|5|278|276|2|95
Macey|8|7|646|47|2|7
Cairo|5|2|837|284|1|294
Garth|12|1|159|312|2|251
Ruth|11|5|728|966|3|230
MacKensie|3|8|388|841|3|267
Thaddeus|6|10|737|866|1|72
Arthur|7|4|948|61|2|223
Chelsea|2|2|115|272|3|249
Zeph|8|6|821|403|1|276
Isaiah|4|9|436|245|3|247
Erasmus|11|8|382|190|3|217
Upton|5|12|855|524|2|297
Chaney|5|10|143|946|2|255
Wade|4|1|578|935|1|41
Lani|4|3|239|356|2|139
Ora|3|9|133|795|2|29
Asher|10|10|944|451|2|119
Tatyana|8|6|622|269|3|277
Raja|5|10|34|702|3|119
Carly|12|9|888|180|3|39
Caldwell|4|1|321|217|2|149
Caryn|5|2|433|350|1|194
Norman|7|8|928|403|3|175
Emily|1|12|388|293|1|201
